City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Khatanga,RU,71.9667,102.5,33.84,94,100,12.68,overcast clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,63,100,15.26,overcast clouds
273,Emba,KZ,48.8264,58.1442,63.03,26,50,12.03,scattered clouds
274,Santa Comba,ES,43.0331,-8.8093,70.2,67,38,10.6,scattered clouds
275,Campagna,IT,40.6653,15.1059,86.41,45,0,5.75,clear sky
276,Pestisani,RO,45.0667,23.0333,75.43,54,20,2.39,few clouds
277,Pierre,US,44.3683,-100.351,59.92,100,0,5.75,mist
278,Benton Harbor,US,42.1167,-86.4542,70.45,77,75,4.0,broken clouds
279,Mount Gambier,AU,-37.8333,140.7667,53.64,96,100,9.1,light rain
280,Te Anau,NZ,-45.4167,167.7167,33.37,96,63,1.12,broken clouds
281,Vega De Alatorre,MX,20.0333,-96.6333,79.77,78,95,8.19,overcast clouds
282,Ponta Do Sol,PT,32.6667,-17.1,84.0,66,34,1.63,scattered clouds
283,Broome,US,42.2506,-75.833,64.85,90,100,6.91,moderate rain
284,Marienburg,PL,54.0359,19.0266,68.88,31,34,4.97,scattered clouds
285,Chikhli,IN,20.35,76.25,77.63,82,48,5.59,scattered clouds
286,Newport,GB,51.5877,-2.9984,71.08,81,100,18.25,overcast clouds
287,Sidi Ali,DZ,36.0998,0.4206,83.91,40,27,10.02,scattered clouds
288,Dharchula,IN,29.85,80.5333,73.51,85,53,1.16,broken clouds
289,Pochutla,MX,15.7432,-96.4661,73.81,85,100,4.07,overcast clouds
290,Sao Filipe,CV,14.8961,-24.4956,79.29,86,100,9.48,light rain
291,Hobyo,SO,5.3505,48.5268,78.62,69,67,28.68,broken clouds
292,Mount Isa,AU,-20.7333,139.5,74.97,29,49,8.05,light rain
293,Bogo,PH,11.0517,124.0055,80.85,81,100,4.45,overcast clouds
294,Kabompo,ZM,-13.5927,24.2008,92.48,8,0,9.93,clear sky
295,Saint-Pierre,RE,-21.3393,55.4781,73.08,69,100,4.61,overcast clouds
296,Pangnirtung,CA,66.1451,-65.7125,44.6,76,100,0.0,overcast clouds
297,Praia Da Vitoria,PT,38.7333,-27.0667,80.85,83,40,11.45,scattered clouds
