City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
428,Arona,ES,76.91,scattered clouds,28.0996,-16.681,Paradise Court
431,Zwedru,LR,82.9,light rain,6.0667,-8.1281,Elijah Worjloh
432,Visnes,NO,68.38,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
434,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
436,Wuwei,CN,70.34,scattered clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
438,Severiano Melo,BR,89.26,clear sky,-5.7772,-37.9578,Chácara Bela Vista
439,Stalowa Wola,PL,74.26,clear sky,50.5829,22.0533,Apartamenty FLOOM Popiełuszki 39
440,Rocha,UY,65.41,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
441,San Carlos Del Zulia,VE,84.51,broken clouds,9.0,-71.9135,Hotel El Manantial
443,Along,IN,73.58,broken clouds,28.1667,94.7667,Hotel West
444,Nurota,UZ,85.35,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
446,Gorontalo,ID,74.71,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
447,Lata,PT,77.07,overcast clouds,40.1629,-8.3327,Casa Maquia
448,Makakilo City,US,78.55,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
449,Moussoro,TD,93.52,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
450,Bad Sooden-Allendorf,DE,80.15,broken clouds,51.2833,9.9833,Waldhotel Soodener Hof
452,Port Blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
456,Middle Island,US,68.97,overcast clouds,40.8843,-72.9373,Cathedral pines
458,Pangani,TZ,76.91,broken clouds,-5.4333,38.9667,Safari Mashariki Lodge
459,General Pico,AR,69.69,clear sky,-35.6566,-63.7568,Euskadi Hotel
460,Belchatow,PL,72.63,broken clouds,51.3688,19.3567,"Santin. Hotel, restauracja"
462,Kathu,TH,83.7,light rain,7.9178,98.3332,Novotel Phuket Resort
463,Rincon,US,81.86,broken clouds,32.296,-81.2354,Days Inn Rincon
468,Loveland,US,82.6,clear sky,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
471,Parana,AR,69.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
475,Vanimo,PG,78.78,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
476,Bhimunipatnam,IN,81.91,overcast clouds,17.8833,83.4333,Bheemili Court
478,Veracruz,MX,73.67,overcast clouds,19.3333,-96.6667,El Carrizal
479,Dingle,PH,77.74,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
481,Basi,IN,88.14,broken clouds,26.8333,76.0333,Saini house
482,Cattolica,IT,85.89,few clouds,43.9575,12.7376,Hotel Antares
490,Burley,US,75.38,scattered clouds,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
493,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
496,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
497,Kilifi,KE,78.1,clear sky,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
499,Sarangani,PH,83.66,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
500,Asyut,EG,93.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
502,Outjo,,93.63,clear sky,-20.1167,16.15,Kai-Oms Backpackers Lodge
504,Caravelas,BR,74.64,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
505,Neyshabur,IR,84.92,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
506,Pangai,TO,76.98,clear sky,-19.8,-174.35,Ha'apai Beach Resort
508,Ahuimanu,US,79.74,clear sky,21.4447,-157.8378,Paradise Bay Resort
509,Maragogi,BR,78.22,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
510,Karratha,AU,69.03,clear sky,-20.7377,116.8463,ibis Styles Karratha
511,Sola,VU,80.19,few clouds,-13.8833,167.55,Leumerus Bungalows
513,Isangel,VU,73.26,broken clouds,-19.55,169.2667,Tanna Lodge
514,Jiuquan,CN,73.9,clear sky,39.7432,98.5174,Jiuquan Hotel
516,Loralai,PK,80.67,clear sky,30.3705,68.598,Saddam Hotel & Resturant
518,Filadelfia,US,70.05,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
